DATE,CORESTICKM159SFRBATL
2004-12-01,2.3138859
2005-01-01,2.3158903
2005-02-01,2.2862449
2005-03-01,2.2461526
2005-04-01,2.2397223
2005-05-01,2.3579552
2005-06-01,2.1993552
2005-07-01,2.3010794
2005-08-01,2.2644059
2005-09-01,2.3340762
2005-10-01,2.3253024
2005-11-01,2.4316658
2005-12-01,2.4690335
2006-01-01,2.4510191
2006-02-01,2.4992554
2006-03-01,2.581219
2006-04-01,2.6806926
2006-05-01,2.7839595
2006-06-01,3.0344298
2006-07-01,3.0939988
2006-08-01,3.2251144
2006-09-01,3.212012
2006-10-01,3.2911246
2006-11-01,3.1482614
2006-12-01,3.1241583
2007-01-01,3.1457342
2007-02-01,3.161558
2007-03-01,3.1090014
2007-04-01,2.9667028
2007-05-01,2.783324
2007-06-01,2.6305791
2007-07-01,2.5346411
2007-08-01,2.4685402
2007-09-01,2.4838823
2007-10-01,2.5033248
2007-11-01,2.6563697
2007-12-01,2.7127336
2008-01-01,2.7470404
2008-02-01,2.6165653
2008-03-01,2.6887664
2008-04-01,2.7251103
2008-05-01,2.7937419
2008-06-01,2.9376962
2008-07-01,3.0142542
2008-08-01,3.0845059
2008-09-01,3.0766785
2008-10-01,2.9291949
2008-11-01,2.7864624
2008-12-01,2.6304305
2009-01-01,2.5522481
2009-02-01,2.5594949
2009-03-01,2.4535819
2009-04-01,2.3761457
2009-05-01,2.2888288
2009-06-01,2.0898948
2009-07-01,1.9228669
2009-08-01,1.7701932
2009-09-01,1.6158958
2009-10-01,1.5209969
2009-11-01,1.3714917
2009-12-01,1.3248615
2010-01-01,1.1770019
2010-02-01,1.0548474
2010-03-01,0.93183853
2010-04-01,0.87602978
2010-05-01,0.7998678
2010-06-01,0.78483473
2010-07-01,0.74959322
2010-08-01,0.69562861
2010-09-01,0.6676136
2010-10-01,0.67526624
2010-11-01,0.82600201
2010-12-01,0.83710132
2011-01-01,0.96003713
2011-02-01,1.1238816
2011-03-01,1.1861014
2011-04-01,1.21555
2011-05-01,1.2613949
2011-06-01,1.2990532
2011-07-01,1.4236275
2011-08-01,1.6569751
2011-09-01,1.7268145
2011-10-01,1.8413647
2011-11-01,1.8407168
2011-12-01,2.0478499
2012-01-01,2.1159285
2012-02-01,2.0181912
2012-03-01,2.1247577
2012-04-01,2.1937928
2012-05-01,2.1896843
2012-06-01,2.2407468
2012-07-01,2.2616531
2012-08-01,2.1718632
2012-09-01,2.2199385
2012-10-01,2.2070705
2012-11-01,2.1959869
2012-12-01,2.1097305
2013-01-01,2.0682971
2013-02-01,2.146017
2013-03-01,2.0999025
2013-04-01,1.9354319
2013-05-01,1.907797
2013-06-01,1.8766189
2013-07-01,1.867879
2013-08-01,1.9142202
2013-09-01,1.8904211
2013-10-01,1.8687356
2013-11-01,1.8930866
2013-12-01,1.8711904
2014-01-01,1.8218145
2014-02-01,1.7891863
2014-03-01,1.8208567
2014-04-01,2.0251612
2014-05-01,2.1282345
2014-06-01,2.1433409
2014-07-01,2.1008094
2014-08-01,1.9625042
2014-09-01,1.954047
2014-10-01,2.0060187
2014-11-01,2.0043657
2014-12-01,1.9711259
2015-01-01,1.985653
2015-02-01,1.9819969
2015-03-01,1.9991371
2015-04-01,2.0631236
2015-05-01,2.0668869
2015-06-01,2.1147326
2015-07-01,2.1414477
2015-08-01,2.1802398
2015-09-01,2.279431
2015-10-01,2.3462109
2015-11-01,2.4052606
